info: listening on 127.0.0.1:8080
info(Server): 127.0.0.1:34028 deinit in write
info(Server): 127.0.0.1:33856 deinit in write
info(Server): 127.0.0.1:33822 deinit in write
info(Server): 127.0.0.1:33826 deinit in write
info(Server): 127.0.0.1:34032 deinit in write
info(Server): 127.0.0.1:34048 deinit in write
info(Server): 127.0.0.1:34062 deinit in write
info(Server): 127.0.0.1:34070 deinit in write
info(Server): 127.0.0.1:34080 deinit in write
info(Server): 127.0.0.1:34096 deinit in write
info(Server): 127.0.0.1:34012 deinit in write
info(Server): 127.0.0.1:34106 deinit in write
info(Server): 127.0.0.1:34112 deinit in write
info(Server): 127.0.0.1:34116 deinit in write
info(Server): 127.0.0.1:34122 deinit in write
info(Server): 127.0.0.1:34134 deinit in write
info(Server): 127.0.0.1:33996 deinit in write
info(Server): 127.0.0.1:34108 deinit in write
info(Server): 127.0.0.1:33982 deinit in write
info(Server): 127.0.0.1:34164 deinit in write
info(Server): 127.0.0.1:34148 deinit in write
info(Server): 127.0.0.1:34174 deinit in write
info(Server): 127.0.0.1:34176 deinit in write
info(Server): 127.0.0.1:34220 deinit in write
info(Server): 127.0.0.1:34196 deinit in write
info(Server): 127.0.0.1:34206 deinit in write
info(Server): 127.0.0.1:34192 deinit in write
info(Server): 127.0.0.1:34232 deinit in write
info(Server): 127.0.0.1:34248 deinit in write
info(Server): 127.0.0.1:34240 deinit in write
info(Server): 127.0.0.1:34226 deinit in write
info(Server): 127.0.0.1:34238 deinit in write
info(Server): 127.0.0.1:34258 deinit in write
info(Server): 127.0.0.1:34272 deinit in write
info(Server): 127.0.0.1:34300 deinit in write
info(Server): 127.0.0.1:34280 deinit in write
info(Server): 127.0.0.1:34314 deinit in write
info(Server): 127.0.0.1:34278 deinit in write
info(Server): 127.0.0.1:34346 deinit in write
info(Server): 127.0.0.1:34360 deinit in write
info(Server): 127.0.0.1:34366 deinit in write
info(Server): 127.0.0.1:34370 deinit in write
info(Server): 127.0.0.1:34376 deinit in write
info(Server): 127.0.0.1:34390 deinit in write
info(Server): 127.0.0.1:34406 deinit in write
info(Server): 127.0.0.1:34418 deinit in write
info(Server): 127.0.0.1:34434 deinit in write
info(Server): 127.0.0.1:34448 deinit in write
info(Server): 127.0.0.1:34452 deinit in write
info(Server): 127.0.0.1:34464 deinit in write
info(Server): 127.0.0.1:34478 deinit in write
info(Server): 127.0.0.1:34490 deinit in write
info(Server): 127.0.0.1:34506 deinit in write
info(Server): 127.0.0.1:34306 deinit in write
info(Server): 127.0.0.1:34290 deinit in write
info(Server): 127.0.0.1:34330 deinit in write
info(Server): 127.0.0.1:34538 deinit in write
info(Server): 127.0.0.1:34510 deinit in write
info(Server): 127.0.0.1:34526 deinit in write
info(Server): 127.0.0.1:34566 deinit in write
